ID,Text,Target_1
41,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham
42,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam
43,WHO ARE YOU SEEING?,ham
44,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham
45,No calls..messages..missed calls,ham
46,Didn't you get hep b immunisation in nigeria.,ham
47,"Fair enough, anything going on?",ham
48,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham
49,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham
50,What you thinked about me. First time you saw me in class.,ham
51,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham
52,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham
53,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",ham
54,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam
55,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham
56,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam
57,"Sorry, I'll call later in meeting.",ham
58,Tell where you reached,ham
59,Yes..gauti and sehwag out of odi series.,ham
60,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham
61,Ha ha ha good joke. Girls are situation seekers.,ham
62,Its a part of checking IQ,ham
63,"Sorry my roommates took forever, it ok if I come by now?",ham
64,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham
65,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ��1500 Bonus Prize, call 09066364589",spam
66,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",ham
67,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or ��1000. To claim txt DIS to 87121 18+6*��1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam
68,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",spam
69,I plane to give on this month end.,ham
70,Wah lucky man... Then can save money... Hee...,ham
71,Finished class where are you.,ham
72,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham
73,K..k:)where are you?how did you performed?,ham
74,U can call me now...,ham
75,I am waiting machan. Call me once you free.,ham
76,Thats cool. i am a gentleman and will treat you with dignity and respect.,ham
77,I like you peoples very much:) but am very shy pa.,ham
78,Does not operate after  &lt;#&gt;  or what,ham
79,Its not the same here. Still looking for a job. How much do Ta's earn there.,ham
80,"Sorry, I'll call later",ham
81,K. Did you call me just now ah? ,ham
82,Ok i am on the way to home hi hi,ham
83,You will be in the place of that man,ham
84,Yup next stop.,ham
85,"I call you later, don't have network. If urgnt, sms me.",ham
86,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham
87,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham
88,I'm really not up to it still tonight babe,ham
89,"Ela kano.,il download, come wen ur free..",ham
90,Yeah do! Don���t stand to close tho- you���ll catch something!,ham
91,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,ham
92,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham
93,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed ��1000 cash or ��5000 prize!,spam
94,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham
95,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",spam
96,Watching telugu movie..wat abt u?,ham
97,i see. When we finish we have loads of loans to pay,ham
98,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",ham
99,Please don't text me anymore. I have nothing else to say.,ham
100,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham
101,I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham
102,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
103,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",ham
104,Umma my life and vava umma love you lot dear,ham
105,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham
106,"Aight, I'll hit you up when I get some cash",ham
107,How would my ip address test that considering my computer isn't a minecraft server,ham
108,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham
109,Dont worry. I guess he's busy.,ham
110,What is the plural of the noun research?,ham
111,Going for dinner.msg you after.,ham
112,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ham
113,GENT! We are trying to contact you. Last weekends draw shows that you won a ��1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam
114,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ham
115,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham
116,You are a winner U have been specially selected 2 receive ��1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,spam
117,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,ham
118,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ham
119,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
120,"URGENT! Your Mobile No. was awarded ��2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam
121,here is my new address -apples&pairs&all that malarky,ham
122,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam
123,I am going to sao mu today. Will be done only at 12 ,ham
124,�� predict wat time �_'ll finish buying?,ham
125,"Good stuff, will do.",ham
126,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",ham
127,Are you there in room.,ham
128,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham
129,K..k:)how much does it cost?,ham
130,I'm home.,ham
131,"Dear, will call Tmorrow.pls accomodate.",ham
132,First answer my question.,ham
133,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ��1.50 SP:Tyrone,spam
134,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam
135,I only haf msn. It's yijue@hotmail.com,ham
136,He is there. You call and meet him,ham
137,No no. I will check all rooms befor activities,ham
138,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam
139,Got c... I lazy to type... I forgot �_ in lect... I saw a pouch but like not v nice...,ham
140,"K, text me when you're on the way",ham
141,"Sir, Waiting for your mail.",ham
142,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",ham
143,I know you are. Can you pls open the back?,ham
144,Yes see ya not on the dot,ham
145,Whats the staff name who is taking class for us?,ham
146,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam
147,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham
148,K..i deleted my contact that why?,ham
149,Sindu got job in birla soft ..,ham
150,The wine is flowing and i'm i have nevering..,ham
151,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ham
152,Ok... Ur typical reply...,ham
153,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
154,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",ham
155,Aaooooright are you at work?,ham
156,I'm leaving my house now...,ham
157,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",ham
158,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam
159,You are a winner U have been specially selected 2 receive ��1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
160,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,ham
161,New car and house for my parents.:)i have only new job in hand:),ham
162,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham
163,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam
164,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam
165,I place all ur points on e cultures module already.,ham
166,URGENT! We are trying to contact you. Last weekends draw shows that you have won a ��900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam
167,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham
168,Great escape. I fancy the bridge but needs her lager. See you tomo ,ham
169,Yes :)it completely in out of form:)clark also utter waste.,ham
170,"Sir, I need AXIS BANK account no and bank address.",ham
171,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",ham
172,What time you coming down later? ,ham
173,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",ham
174,"Well, i'm gonna finish my bath now. Have a good...fine night.",ham
175,Let me know when you've got the money so carlos can make the call,ham
176,U still going to the mall?,ham
177,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",ham
178,Text her. If she doesnt reply let me know so i can have her log in,ham
179,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,ham
180,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,ham
181,Lol no. U can trust me.,ham
182,ok. I am a gentleman and will treat you with dignity and respect.,ham
183,"He will, you guys close?",ham
184,Going on nothing great.bye,ham
185,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,ham
186,"Haha awesome, be there in a minute",ham
187,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed ��1000 cash or ��5000 prize!,spam
188,Have you got Xmas radio times. If not i will get it now,ham
189,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ham
190,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam
191,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,ham
192,Hi :)finally i completed the course:),ham
193,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,ham
194,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,ham
195,Gud mrng dear hav a nice day,ham
196,Did u got that persons story,ham
197,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,ham
198,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,ham
199,"Found it, ENC  &lt;#&gt; , where you at?",ham
200,I sent you  &lt;#&gt;  bucks,ham
201,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,ham
202,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham
203,Goodmorning sleeping ga.,ham
204,U call me alter at 11 ok.,ham
205,�� say until like dat i dun buy ericsson oso cannot oredi lar...,ham
206,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham
207,"Aight yo, dats straight dogg",ham
208,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham
209,Both :) i shoot big loads so get ready!,ham
210,"What's up bruv, hope you had a great break. Do have a rewarding semester.",ham
211,Home so we can always chat,ham
212,K:)k:)good:)study well.,ham
213,Yup... How �_ noe leh...,ham
214,Sounds great! Are you home now?,ham
215,Finally the match heading towards draw as your prediction.,ham
216,Tired. I haven't slept well the past few nights.,ham
217,Easy ah?sen got selected means its good..,ham
218,I have to take exam with march 3,ham
219,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,ham
220,Ok no prob. Take ur time.,ham
221,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,ham
222,"Sorry, I'll call later",ham
223,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,ham
224,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY ��1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",spam
225,Would really appreciate if you call me. Just need someone to talk to.,ham
226,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam
227,Hey company elama po mudyadhu.,ham
228,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham
229,Dear good morning now only i am up,ham
230,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham
231,Dear we are going to our rubber place,ham
232,"Sorry battery died, yeah I'm here",ham
233,Yes:)here tv is always available in work place..,ham
234,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,spam
235,I have printed it oh. So  &lt;#&gt;  come upstairs,ham
236,Or ill be a little closer like at the bus stop on the same street,ham
237,Where are you?when wil you reach here?,ham
238,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ham
239,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam
240,Tomarrow final hearing on my laptop case so i cant.,ham
241,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,ham
242,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",ham
243,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",ham
244,U don't remember that old commercial?,ham
245,Too late. I said i have the website. I didn't i have or dont have the slippers,ham
246,I asked you to call him now ok,ham
247,Kallis wont bat in 2nd innings.,ham
248,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,ham
249,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam
250,Ranjith cal drpd Deeraj and deepak 5min hold,ham
251,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham
252,What you doing?how are you?,ham
253,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",ham
254,"I'm back, lemme know when you're ready",ham
255,Don't necessarily expect it to be done before you get back though because I'm just now headin out,ham
256,Mmm so yummy babe ... Nice jolt to the suzy,ham
257,Where are you lover ? I need you ...,ham
258,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,spam
259,I���m parked next to a MINI!!!! When are you coming in today do you think?,ham
260,Yup,ham
261,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,ham
262,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,ham
263,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,spam
264,Why you Dint come with us.,ham
265,Same. Wana plan a trip sometme then,ham
266,"Not sure yet, still trying to get a hold of him",ham
267,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,spam
268,The evo. I just had to download flash. Jealous?,ham
269,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,spam
270,"Come to mu, we're sorting out our narcotics situation",ham
271,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",ham
272,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
273,"Usf I guess, might as well take 1 car",ham
274,No objection. My bf not coming.,ham
275,Thanx...,ham
276,Tell rob to mack his gf in the theater,ham
277,"Awesome, I'll see you in a bit",ham
278,Just sent it. So what type of food do you like?,ham
279,All done? All handed in? Celebrations in full swing yet?,ham
280,You got called a tool?,ham
281,\Wen u miss someone,ham
282,Ok. I asked for money how far,ham
283,Okie...,ham
284,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",ham
285,"K, I might come by tonight then if my class lets out early",ham
286,Ok..,ham
287,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,ham
288,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",ham
289,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",ham
290,Hey you told your name to gautham ah?,ham
291,Haf u found him? I feel so stupid da v cam was working.,ham
292,Oops. 4 got that bit.,ham
293,Are you this much buzy,ham
294,I accidentally deleted the message. Resend please.,ham
295,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,spam
296,Unless it's a situation where YOU GO GURL would be more appropriate,ham
297,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham
298,I cant pick the phone right now. Pls send a message,ham
299,Need a coffee run tomo?Can't believe it's that time of week already,ham
300,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",ham
301,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",ham
302,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,ham
303,He is a womdarfull actor,ham
304,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",spam
305,Yup... From what i remb... I think should be can book... ,ham
306,Jos ask if u wana meet up?,ham
307,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,ham
308,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",spam
309,Where are the garage keys? They aren't on the bookshelf,ham
310,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham
311,"Think ur smart ? Win ��200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",spam
312,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,ham
313,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",ham
314,You made my day. Do have a great day too.,ham
315,K.k:)advance happy pongal.,ham
316,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",ham
317,"Not really dude, have no friends i'm afraid :(",ham
318,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,spam
319,"Coffee cake, i guess...",ham
320,"Merry Christmas to you too babe, i love ya *kisses*",ham
321,Hey... Why dont we just go watch x men and have lunch... Haha ,ham
322,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,ham
323,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,ham
324,No problem. How are you doing?,ham
325,No calls..messages..missed calls,ham
326,Hi da:)how is the todays class?,ham
327,"I'd say that's a good sign but, well, you know my track record at reading women",ham
328,"Cool, text me when you're parked",ham
329,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,ham
330,K.k:)apo k.good movie.,ham
331,Maybe i could get book out tomo then return it immediately ..? Or something.,ham
332,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,spam
333,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,ham
334,Valentines Day Special! Win over ��1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,spam
335,"Ta-Daaaaa! I am home babe, are you still up ?",ham
336,Cool. So how come you havent been wined and dined before?,ham
337,Just sleeping..and surfing,ham
338,"Sorry, I'll call later",ham
339,U calling me right? Call my hand phone...,ham
340,Ok that's great thanx a lot.,ham
341,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,ham
342,Where u been hiding stranger?,ham
343,Am not interested to do like that.,ham
344,My sister cleared two round in birla soft yesterday.,ham
345,Gudnite....tc...practice going on,ham
346,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,ham
347,One small prestige problem now.,ham
348,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam
349,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,ham
350,"Nah can't help you there, I've never had an iphone",ham
351,If you're not in my car in an hour and a half I'm going apeshit,ham
352,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",ham
353,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,ham
354,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,ham
355,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",ham
356,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam
